Data Source	World Development Indicators																																																												
																																																													
Last Updated Date	3/23/17																																																												
																																																													
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	avg	2016
India	IND	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																						40.76359177										48.22206879										61.0145607					62.75447083					69.3025589				72.22530365	70.76393127	
Not classified	INX	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
Ireland	IRL	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
"Iran, Islamic Rep."	IRN	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																	36.51839828										52.31975937					65.53140259					73.06024933						77			82.44120026	82.33132172		82.96230316				83.62599182	84.62680054		87.17253113	85.1417745	
Iraq	IRQ	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																									74.05220032														79.51869965	79.72176361	79.62023163	
Iceland	ISL	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
Israel	ISR	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																								91.75141144																																	#DIV/0!	
Italy	ITA	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																						96.46054077																				98.41661835										98.84828186				99.01579285	98.93203735	
Jamaica	JAM	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																								79.92012024															88.13224792	88.49990082	88.31607437	
Jordan	JOR	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																				66.79680634																								89.89231873		91.13075256		92.19957733			92.55104065	95.90444946	97.89031982			98.01435089	96.09004021	
Japan	JPN	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																																									#DIV/0!	
Kazakhstan	KAZ	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																														97.5293808										99.51265717										99.73240662						99.78784943	99.78784943	
Kenya	KEN	"Adult literacy rate, population 15+ years, both sexes (%)"	SE.ADT.LITR.ZS																																									82.2290802							72.1570282								78.02339935	78.02339935	
